"region","set_type","status","all_pop","ind_edu","phd_edu","hig_edu","mast_edu","spec_edu","bac_edu","not_compl_edu","prof_edu","prof_edu_mid_spec","prof_edu_work","mid_edu","mid_edu_gen","mid_edu_prim","non_edu","not_ind_edu"
"Belgorod Oblast","city","employed",398699,391064,6420,142326,9065,96558,36703,9382,186776,125881,60895,35360,10134,578,88,7635
"Belgorod Oblast","city","unemployed",2277,2256,39,873,71,587,215,67,789,542,247,319,159,6,4,21
"Belgorod Oblast","city","not in labour",269102,265713,3133,44280,2381,31900,9999,3437,117315,82231,35084,57529,31607,7808,604,3389
"Belgorod Oblast","city","labour force",3859,3809,65,1310,118,853,339,85,1361,961,400,662,291,31,4,50
"Belgorod Oblast","city",NA,174402,12422,181,2277,102,1570,605,278,5585,3952,1633,2227,1466,378,30,161980
"Belgorod Oblast","village",NA,453215,441813,3491,79984,3472,59768,16744,5677,197300,129990,67310,92992,50057,11426,886,11402
"Belgorod Oblast","village","indicated status",439721,438419,3465,79536,3460,59463,16613,5648,195818,129000,66818,92221,49556,11294,881,1302
"Belgorod Oblast","village","labour force",239214,238485,2328,59599,2836,43652,13111,3848,119921,78629,41292,39793,12683,268,45,729
"Belgorod Oblast","village","employed",238049,237326,2315,59356,2813,43485,13058,3832,119388,78317,41071,39529,12593,268,45,723
"Belgorod Oblast","village","unemployed",1165,1159,13,243,23,167,53,16,533,312,221,264,90,NA,NA,6
"Belgorod Oblast","village","not in labour",200507,199934,1137,19937,624,15811,3502,1800,75897,50371,25526,52428,36873,11026,836,573
"Belgorod Oblast","village","labour force",1694,1688,12,349,26,243,80,28,715,401,314,402,172,9,1,6
"Belgorod Oblast","village",NA,13494,3394,26,448,12,305,131,29,1482,990,492,771,501,132,5,10100
"Bryansk Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryansk Oblast","total",NA,988971,866123,8206,190029,9637,138103,42289,11480,373641,248685,124956,173929,85724,21395,1719,122848
"Bryansk Oblast","total","indicated status",862027,846359,8035,187265,9541,136175,41549,11203,366236,243514,122722,168631,82697,20607,1685,15668
"Bryansk Oblast","total","labour force",466152,456231,5478,138060,7739,98144,32177,7782,215731,141245,74486,67632,20689,657,202,9921
"Bryansk Oblast","total","employed",461030,451135,5433,136951,7671,97389,31891,7708,213567,139981,73586,66425,20227,629,195,9895
"Bryansk Oblast","total","unemployed",5122,5096,45,1109,68,755,286,74,2164,1264,900,1207,462,28,7,26
"Bryansk Oblast","total","not in labour",395875,390128,2557,49205,1802,38031,9372,3421,150505,102269,48236,100999,62008,19950,1483,5747
"Bryansk Oblast","total","labour force",6475,6433,66,1451,107,1008,336,110,2737,1570,1167,1391,609,63,6,42
"Bryansk Oblast","total",NA,126944,19764,171,2764,96,1928,740,277,7405,5171,2234,5298,3027,788,34,107180
"Bryansk Oblast","city",NA,691324,580274,6612,146518,7909,105278,33331,8977,254306,175851,78455,105745,46905,10313,898,111050
"Bryansk Oblast","city","indicated status",579021,565256,6467,144318,7822,103764,32732,8751,248404,171689,76715,101998,44744,9699,875,13765
"Bryansk Oblast","city","labour force",319592,310881,4472,106383,6334,74673,25376,6147,144542,98108,46434,38507,10314,415,101,8711
"Bryansk Oblast","city","employed",316074,307386,4436,105459,6279,74043,25137,6085,143093,97225,45868,37721,10095,401,96,8688
"Bryansk Oblast","city","unemployed",3518,3495,36,924,55,630,239,62,1449,883,566,786,219,14,5,23
"Bryansk Oblast","city","not in labour",259429,254375,1995,37935,1488,29091,7356,2604,103862,73581,30281,63491,34430,9284,774,5054
"Bryansk Oblast","city","labour force",4289,4260,48,1105,93,766,246,95,1760,1092,668,885,323,41,3,29
"Bryansk Oblast","city",NA,112303,15018,145,2200,87,1514,599,226,5902,4162,1740,3747,2161,614,23,97285
"Bryansk Oblast","village",NA,297647,285849,1594,43511,1728,32825,8958,2503,119335,72834,46501,68184,38819,11082,821,11798
"Bryansk Oblast","village","indicated status",283006,281103,1568,42947,1719,32411,8817,2452,117832,71825,46007,66633,37953,10908,810,1903
"Bryansk Oblast","village","labour force",146560,145350,1006,31677,1405,23471,6801,1635,71189,43137,28052,29125,10375,242,101,1210
"Bryansk Oblast","village","employed",144956,143749,997,31492,1392,23346,6754,1623,70474,42756,27718,28704,10132,228,99,1207
"Bryansk Oblast","village","unemployed",1604,1601,9,185,13,125,47,12,715,381,334,421,243,14,2,3
"Bryansk Oblast","village","not in labour",136446,135753,562,11270,314,8940,2016,817,46643,28688,17955,37508,27578,10666,709,693
"Bryansk Oblast","village","labour force",2186,2173,18,346,14,242,90,15,977,478,499,506,286,22,3,13
"Bryansk Oblast","village",NA,14641,4746,26,564,9,414,141,51,1503,1009,494,1551,866,174,11,9895
"Vladimir Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vladimir Oblast","total",NA,1146687,994262,11895,216618,12238,151275,53105,17655,426828,275308,151520,198906,99205,21840,1315,152425
"Vladimir Oblast","total","indicated status",1006341,961911,11618,212460,12110,148492,51858,17226,415518,267731,147787,190106,93445,20305,1233,44430
"Vladimir Oblast","total","labour force",599184,568474,8082,160976,9985,108972,42019,12865,266828,169974,96854,87280,30272,2038,133,30710
"Vladimir Oblast","total","employed",594638,563994,8037,159936,9901,108259,41776,12777,264978,168964,96014,86265,29882,1988,131,30644
"Vladimir Oblast","total","unemployed",4546,4480,45,1040,84,713,243,88,1850,1010,840,1015,390,50,2,66
"Vladimir Oblast","total","not in labour",407157,393437,3536,51484,2125,39520,9839,4361,148690,97757,50933,102826,63173,18267,1100,13720
"Vladimir Oblast","total","labour force",4671,4631,46,1097,100,768,229,122,1726,1018,708,1096,469,69,6,40
"Vladimir Oblast","total",NA,140346,32351,277,4158,128,2783,1247,429,11310,7577,3733,8800,5760,1535,82,107995
"Vladimir Oblast","city",NA,889332,751324,10112,183959,10808,128705,44446,14654,321352,211808,109544,141519,65528,13527,673,138008
"Vladimir Oblast","city","indicated status",767317,726842,9894,180494,10704,126357,43433,14323,312752,205974,106778,135081,61109,12532,657,40475
"Vladimir Oblast","city","labour force",468845,440500,6959,138831,8914,94228,35689,10978,203123,132249,70874,60773,18596,1162,78,28345
"Vladimir Oblast","city","employed",465614,437330,6919,137927,8844,93595,35488,10908,201811,131545,70266,60150,18401,1136,78,28284
"Vladimir Oblast","city","unemployed",3231,3170,40,904,70,633,201,70,1312,704,608,623,195,26,NA,61
"Vladimir Oblast","city","not in labour",298472,286342,2935,41663,1790,32129,7744,3345,109629,73725,35904,74308,42513,11370,579,12130
"Vladimir Oblast","city","labour force",3587,3553,33,927,86,642,199,110,1326,800,526,788,321,47,1,34
"Vladimir Oblast","city",NA,122015,24482,218,3465,104,2348,1013,331,8600,5834,2766,6438,4419,995,16,97533
"Vladimir Oblast","village",NA,257355,242938,1783,32659,1430,22570,8659,3001,105476,63500,41976,57387,33677,8313,642,14417
"Vladimir Oblast","village","indicated status",239024,235069,1724,31966,1406,22135,8425,2903,102766,61757,41009,55025,32336,7773,576,3955
"Vladimir Oblast","village","labour force",130339,127974,1123,22145,1071,14744,6330,1887,63705,37725,25980,26507,11676,876,55,2365
"Vladimir Oblast","village","employed",129024,126664,1118,22009,1057,14664,6288,1869,63167,37419,25748,26115,11481,852,53,2360
"Vladimir Oblast","village","unemployed",1315,1310,5,136,14,80,42,18,538,306,232,392,195,24,2,5
"Vladimir Oblast","village","not in labour",108685,107095,601,9821,335,7391,2095,1016,39061,24032,15029,28518,20660,6897,521,1590
"Vladimir Oblast","village","labour force",1084,1078,13,170,14,126,30,12,400,218,182,308,148,22,5,6
"Vladimir Oblast","village",NA,18331,7869,59,693,24,435,234,98,2710,1743,967,2362,1341,540,66,10462
"Voronezh Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Voronezh Oblast","total",NA,1973280,1824697,23664,463591,32692,313207,117692,36999,688617,446057,242560,378980,192642,37298,2906,148583
"Voronezh Oblast","total","indicated status",1835787,1795918,23275,458288,32386,309502,116400,36512,680040,440511,239529,371681,187548,35723,2851,39869
"Voronezh Oblast","total","labour force",1074759,1046599,16494,350098,26708,229907,93483,26714,422548,269744,152804,163163,64960,2267,355,28160
"Voronezh Oblast","total","employed",1064093,1036012,16395,347287,26414,228078,92795,26463,418689,267404,151285,160815,63860,2166,337,28081
"Voronezh Oblast","total","unemployed",10666,10587,99,2811,294,1829,688,251,3859,2340,1519,2348,1100,101,18,79
"Voronezh Oblast","total","not in labour",761028,749319,6781,108190,5678,79595,22917,9798,257492,170767,86725,208518,122588,33456,2496,11709
"Voronezh Oblast","total","labour force",12183,12066,124,2853,271,1872,710,283,3952,2417,1535,3523,1206,112,13,117
"Voronezh Oblast","total",NA,137493,28779,389,5303,306,3705,1292,487,8577,5546,3031,7299,5094,1575,55,108714
"Voronezh Oblast","city",NA,1349456,1208982,20366,376688,28611,252616,95461,29710,447251,295682,151569,215550,102824,15271,1322,140474
"Voronezh Oblast","city","indicated status",1221522,1184083,20001,371725,28321,249144,94260,29272,440014,290863,149151,209161,98640,13986,1284,37439
"Voronezh Oblast","city","labour force",758800,732359,14460,288005,23485,188070,76450,21910,279108,180942,98166,89113,38307,1221,235,26441
"Voronezh Oblast","city","employed",752555,726175,14380,285694,23229,186553,75912,21714,277050,179669,97381,88006,37914,1190,227,26380
"Voronezh Oblast","city","unemployed",6245,6184,80,2311,256,1517,538,196,2058,1273,785,1107,393,31,8,61
"Voronezh Oblast","city","not in labour",462722,451724,5541,83720,4836,61074,17810,7362,160906,109921,50985,120048,60333,12765,1049,10998
"Voronezh Oblast","city","labour force",7827,7717,99,2281,228,1495,558,215,2196,1386,810,2298,554,66,8,110
"Voronezh Oblast","city",NA,127934,24899,365,4963,290,3472,1201,438,7237,4819,2418,6389,4184,1285,38,103035
"Voronezh Oblast","village",NA,623824,615715,3298,86903,4081,60591,22231,7289,241366,150375,90991,163430,89818,22027,1584,8109
"Voronezh Oblast","village","indicated status",614265,611835,3274,86563,4065,60358,22140,7240,240026,149648,90378,162520,88908,21737,1567,2430
"Voronezh Oblast","village","labour force",315959,314240,2034,62093,3223,41837,17033,4804,143440,88802,54638,74050,26653,1046,120,1719
"Voronezh Oblast","village","employed",311538,309837,2015,61593,3185,41525,16883,4749,141639,87735,53904,72809,25946,976,110,1701
"Voronezh Oblast","village","unemployed",4421,4403,19,500,38,312,150,55,1801,1067,734,1241,707,70,10,18
"Voronezh Oblast","village","not in labour",298306,297595,1240,24470,842,18521,5107,2436,96586,60846,35740,88470,62255,20691,1447,711
"Voronezh Oblast","village","labour force",4356,4349,25,572,43,377,152,68,1756,1031,725,1225,652,46,5,7
"Voronezh Oblast","village",NA,9559,3880,24,340,16,233,91,49,1340,727,613,910,910,290,17,5679
"Ivanovo Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ivanovo Oblast","total",NA,785027,694781,6882,153569,8027,113404,32138,11324,303843,196935,106908,136962,67976,12753,1472,90246
"Ivanovo Oblast","total","indicated status",695459,677616,6700,150739,7889,111308,31542,11049,297577,192775,104802,132582,65312,12207,1450,17843
"Ivanovo Oblast","total","labour force",391797,380400,4350,109940,6350,78638,24952,7965,181883,115638,66245,57952,17710,299,301,11397
"Ivanovo Oblast","total","employed",388073,376709,4327,109171,6299,78102,24770,7887,180267,114740,65527,57148,17329,284,296,11364
"Ivanovo Oblast","total","unemployed",3724,3691,23,769,51,536,182,78,1616,898,718,804,381,15,5,33
"Ivanovo Oblast","total","not in labour",303662,297216,2350,40799,1539,32670,6590,3084,115694,77137,38557,74630,47602,11908,1149,6446
"Ivanovo Oblast","total","labour force",3877,3843,51,870,60,607,203,98,1586,1015,571,828,385,21,4,34
"Ivanovo Oblast","total",NA,89568,17165,182,2830,138,2096,596,275,6266,4160,2106,4380,2664,546,22,72403
"Ivanovo Oblast","city",NA,641628,558319,6077,132552,7271,97844,27437,9499,242982,159823,83159,108037,49376,8781,1015,83309
"Ivanovo Oblast","city","indicated status",560458,543589,5913,130056,7142,95982,26932,9255,237654,156224,81430,104249,47118,8347,997,16869
"Ivanovo Oblast","city","labour force",320468,309633,3895,95802,5767,68691,21344,6720,146824,94751,52073,44477,11510,134,271,10835
"Ivanovo Oblast","city","employed",317664,306861,3879,95133,5721,68230,21182,6650,145597,94060,51537,43924,11288,124,266,10803
"Ivanovo Oblast","city","unemployed",2804,2772,16,669,46,461,162,70,1227,691,536,553,222,10,5,32
"Ivanovo Oblast","city","not in labour",239990,233956,2018,34254,1375,27291,5588,2535,90830,61473,29357,59772,35608,8213,726,6034
"Ivanovo Oblast","city","labour force",3103,3075,48,777,54,543,180,78,1273,843,430,637,240,19,3,28
"Ivanovo Oblast","city",NA,81170,14730,164,2496,129,1862,505,244,5328,3599,1729,3788,2258,434,18,66440
"Ivanovo Oblast","village",NA,143399,136462,805,21017,756,15560,4701,1825,60861,37112,23749,28925,18600,3972,457,6937
"Ivanovo Oblast","village","indicated status",135001,134027,787,20683,747,15326,4610,1794,59923,36551,23372,28333,18194,3860,453,974
"Ivanovo Oblast","village","labour force",71329,70767,455,14138,583,9947,3608,1245,35059,20887,14172,13475,6200,165,30,562
"Ivanovo Oblast","village","employed",70409,69848,448,14038,578,9872,3588,1237,34670,20680,13990,13224,6041,160,30,561
"Ivanovo Oblast","village","unemployed",920,919,7,100,5,75,20,8,389,207,182,251,159,5,NA,1
"Ivanovo Oblast","village","not in labour",63672,63260,332,6545,164,5379,1002,549,24864,15664,9200,14858,11994,3695,423,412
"Ivanovo Oblast","village","labour force",774,768,3,93,6,64,23,20,313,172,141,191,145,2,1,6
"Ivanovo Oblast","village",NA,8398,2435,18,334,9,234,91,31,938,561,377,592,406,112,4,5963
"Kaluga Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kaluga Oblast","total",NA,895121,786273,9334,196558,12434,135424,48700,16508,344123,223425,120698,139432,66211,12938,1169,108848
"Kaluga Oblast","total","indicated status",793402,770692,9180,193760,12320,133463,47977,16210,338045,219327,118718,136099,63991,12261,1146,22710
"Kaluga Oblast","total","labour force",495667,478170,6110,149249,10036,100165,39048,12317,221767,141436,80331,65876,21571,1068,212,17497
"Kaluga Oblast","total","employed",492890,475418,6082,148567,9973,99732,38862,12261,220657,140773,79884,65300,21299,1043,209,17472
"Kaluga Oblast","total","unemployed",2777,2752,28,682,63,433,186,56,1110,663,447,576,272,25,3,25
"Kaluga Oblast","total","not in labour",297735,292522,3070,44511,2284,33298,8929,3893,116278,77891,38387,70223,42420,11193,934,5213
"Kaluga Oblast","total","labour force",4216,4182,68,1124,95,766,263,111,1554,968,586,888,390,40,7,34
"Kaluga Oblast","total",NA,101719,15581,154,2798,114,1961,723,298,6078,4098,1980,3333,2220,677,23,86138
"Kaluga Oblast","city",NA,670179,576973,7569,163804,10925,112080,40799,13220,252971,167186,85785,91804,39585,7331,689,93206
"Kaluga Oblast","city","indicated status",584552,564687,7426,161336,10826,110332,40178,12959,248247,163953,84294,89291,37965,6794,669,19865
"Kaluga Oblast","city","labour force",374110,358731,4997,125476,8846,83630,33000,10000,163515,105744,57771,42188,11863,558,134,15379
"Kaluga Oblast","city","employed",372140,356785,4972,124891,8787,83267,32837,9960,162749,105257,57492,41804,11734,543,132,15355
"Kaluga Oblast","city","unemployed",1970,1946,25,585,59,363,163,40,766,487,279,384,129,15,2,24
"Kaluga Oblast","city","not in labour",210442,205956,2429,35860,1980,26702,7178,2959,84732,58209,26523,47103,26102,6236,535,4486
"Kaluga Oblast","city","labour force",3039,3009,57,933,87,638,208,84,1037,647,390,634,231,26,7,30
"Kaluga Oblast","city",NA,85627,12286,143,2468,99,1748,621,261,4724,3233,1491,2513,1620,537,20,73341
"Kaluga Oblast","village",NA,224942,209300,1765,32754,1509,23344,7901,3288,91152,56239,34913,47628,26626,5607,480,15642
"Kaluga Oblast","village","indicated status",208850,206005,1754,32424,1494,23131,7799,3251,89798,55374,34424,46808,26026,5467,477,2845
"Kaluga Oblast","village","labour force",121557,119439,1113,23773,1190,16535,6048,2317,58252,35692,22560,23688,9708,510,78,2118
"Kaluga Oblast","village","employed",120750,118633,1110,23676,1186,16465,6025,2301,57908,35516,22392,23496,9565,500,77,2117
"Kaluga Oblast","village","unemployed",807,806,3,97,4,70,23,16,344,176,168,192,143,10,1,1
"Kaluga Oblast","village","not in labour",87293,86566,641,8651,304,6596,1751,934,31546,19682,11864,23120,16318,4957,399,727
"Kaluga Oblast","village","labour force",1177,1173,11,191,8,128,55,27,517,321,196,254,159,14,NA,4
"Kaluga Oblast","village",NA,16092,3295,11,330,15,213,102,37,1354,865,489,820,600,140,3,12797
"Kostroma Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kostroma Oblast","total",NA,477979,384288,5779,84714,5105,63895,15714,5279,184156,124414,59742,59093,36890,7635,742,93691
"Kostroma Oblast","total","indicated status",379996,374951,5581,83191,5059,62704,15428,5149,179970,121419,58551,57329,35670,7334,727,5045
"Kostroma Oblast","total","labour force",204904,201666,3366,59046,4065,43019,11962,3407,103712,68215,35497,23594,8400,84,57,3238
"Kostroma Oblast","total","employed",202272,199052,3346,58554,4021,42689,11844,3369,102445,67509,34936,23091,8112,80,55,3220
"Kostroma Oblast","total","unemployed",2632,2614,20,492,44,330,118,38,1267,706,561,503,288,4,2,18
"Kostroma Oblast","total","not in labour",175092,173285,2215,24145,994,19685,3466,1742,76258,53204,23054,33735,27270,7250,670,1807
"Kostroma Oblast","total","labour force",3254,3242,22,630,55,457,118,60,1493,936,557,628,386,21,2,12
"Kostroma Oblast","total",NA,97983,9337,198,1523,46,1191,286,130,4186,2995,1191,1764,1220,301,15,88646
"Kostroma Oblast","city",NA,351146,262924,4734,67478,4320,50260,12898,4065,124367,86482,37885,37202,20690,3996,392,88222
"Kostroma Oblast","city","indicated status",259814,255723,4544,66230,4281,49296,12653,3960,121082,84038,37044,35865,19859,3802,381,4091
"Kostroma Oblast","city","labour force",146084,143467,2773,47685,3468,34324,9893,2695,71616,48328,23288,14777,3847,41,33,2617
"Kostroma Oblast","city","employed",144500,141900,2759,47273,3430,34053,9790,2665,70882,47888,22994,14525,3725,39,32,2600
"Kostroma Oblast","city","unemployed",1584,1567,14,412,38,271,103,30,734,440,294,252,122,2,1,17
"Kostroma Oblast","city","not in labour",113730,112256,1771,18545,813,14972,2760,1265,49466,35710,13756,21088,16012,3761,348,1474
"Kostroma Oblast","city","labour force",2015,2005,19,506,47,361,98,45,871,583,288,352,197,14,1,10
"Kostroma Oblast","city",NA,91332,7201,190,1248,39,964,245,105,3285,2444,841,1337,831,194,11,84131
"Kostroma Oblast","village",NA,126833,121364,1045,17236,785,13635,2816,1214,59789,37932,21857,21891,16200,3639,350,5469
"Kostroma Oblast","village","indicated status",120182,119228,1037,16961,778,13408,2775,1189,58888,37381,21507,21464,15811,3532,346,954
"Kostroma Oblast","village","labour force",58820,58199,593,11361,597,8695,2069,712,32096,19887,12209,8817,4553,43,24,621
"Kostroma Oblast","village","employed",57772,57152,587,11281,591,8636,2054,704,31563,19621,11942,8566,4387,41,23,620
"Kostroma Oblast","village","unemployed",1048,1047,6,80,6,59,15,8,533,266,267,251,166,2,1,1
"Kostroma Oblast","village","not in labour",61362,61029,444,5600,181,4713,706,477,26792,17494,9298,12647,11258,3489,322,333
"Kostroma Oblast","village","labour force",1239,1237,3,124,8,96,20,15,622,353,269,276,189,7,1,2
"Kostroma Oblast","village",NA,6651,2136,8,275,7,227,41,25,901,551,350,427,389,107,4,4515
"Kursk Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kursk Oblast","total",NA,912392,765250,8716,190082,12291,138192,39599,11162,326704,211780,114924,141349,68065,17611,1561,147142
"Kursk Oblast","total","indicated status",764246,750702,8573,187459,12181,136252,39026,10916,321218,207967,113251,137660,66352,17013,1511,13544
"Kursk Oblast","total","labour force",410640,402239,5745,139227,9988,99285,29954,7261,183020,116020,67000,51748,14361,744,133,8401
"Kursk Oblast","total","employed",406867,398497,5708,138185,9905,98588,29692,7183,181450,115097,66353,51032,14079,733,127,8370
"Kursk Oblast","total","unemployed",3773,3742,37,1042,83,697,262,78,1570,923,647,716,282,11,6,31
"Kursk Oblast","total","not in labour",353606,348463,2828,48232,2193,36967,9072,3655,138198,91947,46251,85912,51991,16269,1378,5143
"Kursk Oblast","total","labour force",5342,5298,40,1371,119,933,319,116,2096,1298,798,1065,563,45,2,44
"Kursk Oblast","total",NA,148146,14548,143,2623,110,1940,573,246,5486,3813,1673,3689,1713,598,50,133598
"Kursk Oblast","city",NA,621881,481650,7479,148370,10355,108028,29987,8516,204151,137647,66504,76248,28528,7645,713,140231
"Kursk Oblast","city","indicated status",481092,469739,7340,145975,10259,106241,29475,8296,199554,134336,65218,73275,27443,7179,677,11353
"Kursk Oblast","city","labour force",272302,265142,4950,109826,8424,78544,22858,5563,113766,74654,39112,25635,4826,493,83,7160
"Kursk Oblast","city","employed",270092,262958,4915,108978,8347,77972,22659,5501,112933,74141,38792,25320,4741,488,82,7134
"Kursk Oblast","city","unemployed",2210,2184,35,848,77,572,199,62,833,513,320,315,85,5,1,26
"Kursk Oblast","city","not in labour",208790,204597,2390,36149,1835,27697,6617,2733,85788,59682,26106,47640,22617,6686,594,4193
"Kursk Oblast","city","labour force",3416,3379,34,1131,103,770,258,97,1227,807,420,540,316,34,NA,37
"Kursk Oblast","city",NA,140789,11911,139,2395,96,1787,512,220,4597,3311,1286,2973,1085,466,36,128878
"Kursk Oblast","village",NA,290511,283600,1237,41712,1936,30164,9612,2646,122553,74133,48420,65101,39537,9966,848,6911
"Kursk Oblast","village","indicated status",283154,280963,1233,41484,1922,30011,9551,2620,121664,73631,48033,64385,38909,9834,834,2191
"Kursk Oblast","village","labour force",138338,137097,795,29401,1564,20741,7096,1698,69254,41366,27888,26113,9535,251,50,1241
"Kursk Oblast","village","employed",136775,135539,793,29207,1558,20616,7033,1682,68517,40956,27561,25712,9338,245,45,1236
"Kursk Oblast","village","unemployed",1563,1558,2,194,6,125,63,16,737,410,327,401,197,6,5,5
"Kursk Oblast","village","not in labour",144816,143866,438,12083,358,9270,2455,922,52410,32265,20145,38272,29374,9583,784,950
"Kursk Oblast","village","labour force",1926,1919,6,240,16,163,61,19,869,491,378,525,247,11,2,7
"Kursk Oblast","village",NA,7357,2637,4,228,14,153,61,26,889,502,387,716,628,132,14,4720
"Lipetsk Oblast","village",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lipetsk Oblast","total",NA,957295,859295,9600,207106,12691,146639,47776,13942,408627,256984,151643,127065,72073,19455,1427,98000
"Lipetsk Oblast","total","indicated status",858402,849073,9502,205411,12602,145515,47294,13703,404262,254237,150025,125079,70758,18945,1413,9329
